Work,Book/poem,Lines,Breaks,Breaks/Line,"Chance of at least this many breaks, assuming random distribution"
Dion.,18,368,0,0%,1e+02%
Dion.,19,348,0,0%,1e+02%
Dion.,20,404,0,0%,1e+02%
Dion.,21,345,0,0%,1e+02%
Dion.,22,400,0,0%,1e+02%
Dion.,23,320,0,0%,1e+02%
Dion.,24,329,0,0%,1e+02%
Dion.,25,571,0,0%,1e+02%
Dion.,26,378,0,0%,1e+02%
Dion.,27,341,0,0%,1e+02%
Dion.,28,330,0,0%,1e+02%
Dion.,29,381,0,0%,1e+02%
Dion.,30,326,0,0%,1e+02%
Dion.,31,282,0,0%,1e+02%
Dion.,32,299,0,0%,1e+02%
Dion.,33,387,0,0%,1e+02%
Dion.,34,358,0,0%,1e+02%
Dion.,35,391,0,0%,1e+02%
Dion.,36,480,0,0%,1e+02%
Dion.,37,778,0,0%,1e+02%
Dion.,38,434,0,0%,1e+02%
Dion.,39,406,0,0%,1e+02%
Dion.,40,579,0,0%,1e+02%
Dion.,41,426,0,0%,1e+02%
Dion.,42,541,0,0%,1e+02%
Dion.,43,449,0,0%,1e+02%
Dion.,44,318,0,0%,1e+02%
Dion.,45,358,0,0%,1e+02%
Dion.,46,369,0,0%,1e+02%
Dion.,47,741,0,0%,1e+02%
Dion.,48,977,0,0%,1e+02%
