era,num_breaks,num_caesurae,num_lines,breaks_per_line_pct,lines_per_break
archaic,81,1485,32484,0.25%,401
hellenistic,12,432,10434,0.12%,870
hellenistic|archaic,93,1917,42918,0.22%,461
imperial,10,559,30059,0.03%,3006
imperial|hellenistic|archaic,103,2476,72977,0.14%,709
