lemma,sedes,x,z
ἔλλοψ,9,1,
ἔλον,8,1,
ἔλπω,1,48,+1.27510014791371
ἔλπω,2,1,-1.4742987017557
ἔλπω,2.5,1,-1.4742987017557
ἔλπω,3,10,-0.947818070967944
ἔλπω,4,4,-1.29880515815978
ἔλπω,4.5,13,-0.772324527372024
ἔλπω,5,4,-1.29880515815978
ἔλπω,6,3,-1.35730300602509
ἔλπω,6.5,7,-1.12331161456386
ἔλπω,7,9,-1.00631591883325
ἔλπω,8,2,-1.4158008538904
ἔλπω,8.5,3,-1.35730300602509
ἔλπω,9,17,-0.538333135910797
ἔλπω,10.5,31,+0.280636734203498
ἔλυμα,2.5,1,
ἔλυμα,8.5,1,
ἔλυμος,4,1,
ἔλχεϊ,7,1,
ἔμβρυον,7,4,+0.5
ἔμβρυον,9,1,-2
ἔμμητρος,1,1,
ἔμμορες,1,1,
ἔμμορες,9,1,
ἔμμορος,1,1,
ἔμμορος,3,1,
ἔμπαιος,8,1,
ἔμπαλια,7,1,
ἔμπαλιν,1,8,-0.831632035280787
ἔμπαλιν,7,13,+0.745601135079326
ἔμπαλιν,9,1,-3.03975847378494
ἔμπας,1,29,+0.0335351689845245
ἔμπας,2,15,-1.15323720007893
ἔμπας,3,2,-2.25524011420928
ἔμπας,4,3,-2.17047065927617
ἔμπας,6,1,-2.34000956914238
ἔμπας,7,1,-2.34000956914238
ἔμπας,9,1,-2.34000956914238
ἔμπας,11,39,+0.881229718315563
ἔμπεδος,1,18,-1.03758876823803
ἔμπεδος,3,13,-1.28398784391982
ἔμπεδος,7,58,+0.933603837216351
ἔμπεδος,9,20,-0.939029137965308
ἔμπλεος,1,3,-0.288675134594813
ἔμπλεος,2.5,1,-2.1650635094611
ἔμπλεος,3,4,+0.649519052838329
ἔμπλεος,6.5,4,+0.649519052838329
ἔμπλεος,9,1,-2.1650635094611
ἔμπλην,1,1,-1.4142135623731
ἔμπλην,4,2,+0.707106781186547
ἔμπνοος,1,11,+0.638469507574098
ἔμπνοος,3,1,-2.8199069917856
ἔμπνοος,7,10,+0.292631857638128
ἔμπνοος,9,4,-1.78239404197769
ἔμπορος,1,3,+0.577350269189626
ἔμπορος,7,1,-1.73205080756888
ἔμπροσθεν,4,2,
ἔμπυρος,1,12,+0.8940549671892
ἔμπυρος,3,2,-1.50462909112329
ἔμπυρος,7,5,-0.785023873629542
ἔμπυρος,9,3,-1.26476068529204
ἔμφρων,1,11,+0.123398616902066
ἔμφρων,3,5,-1.44993374859928
ἔμφρων,7,4,-1.71215580951617
ἔμφρων,9,14,+0.910064799652737
ἔμφυλος,1,1,-0.816496580927726
ἔμφυλος,3,1,-0.816496580927726
ἔμφυλος,4,2,+1.22474487139159
ἔμφυλος,8,1,-0.816496580927726
ἔμφυτος,1,2,-0.836660026534076
ἔμφυτος,7,1,-1.67332005306815
ἔμφυτος,9,4,+0.836660026534076
ἔμψυχος,1,1,
ἔναι’,8.5,1,
ἔναλλος,2.5,1,
ἔναλος,6,1,
ἔναντα,2.5,1,-1
ἔναντα,4.5,2,+1
ἔναντα,10.5,1,-1
ἔναρα,2,1,-1.88206500278253
ἔναρα,4,3,-0.716977143917153
ἔναρα,6,3,-0.716977143917153
ἔναρα,8,6,+1.03065464438091
ἔνατος,4,1,-1.4142135623731
ἔνατος,6,2,+0.707106781186547
ἔναυλος,2.5,1,-6.16441400296898
ἔναυλος,10.5,38,+0.162221421130763
ἔνδημος,7,1,
ἔνδινα,3,1,
ἔνδιος,1,5,-0.763541715570933
ἔνδιος,3,3,-1.25136003385236
ἔνδιος,7,3,-1.25136003385236
ἔνδιος,9,12,+0.94382239841407
ἔνδοθεν,1,1,-2.05297774275503
ἔνδοθεν,3,1,-2.05297774275503
ἔνδοθεν,7,5,-1.46317198240552
ἔνδοθεν,9,19,+0.60114817881777
ἔνδοθι,3,3,-2.49357272293509
ἔνδοθι,7,13,-2.08323797105969
ἔνδοθι,9,75,+0.46083749056775
ἔνδοι,1,1,
ἔνδοι,2,1,
ἔνδοι,3,1,
ἔνδοι,12,1,
ἔνδον,1,9,-1.20353016102001
ἔνδον,2,1,-1.71213495709959
ἔνδον,3,12,-1.01280336249016
ἔνδον,4,1,-1.71213495709959
ἔνδον,5,13,-0.949227762980216
ἔνδον,9,45,+1.08519142133813
ἔνδον,11,20,-0.504198566410579
ἔνδρυον,1,1,
ἔνεγκαν,10.5,1,
ἔνειμι,4.5,3,-1.06144555520604
ἔνειμι,8,1,-1.95959179422654
ἔνειμι,10.5,7,+0.734846922834954
ἔνερθε,1,6,-0.652451860796591
ἔνερθε,2.5,2,-1.57071744265846
ἔνερθε,3,1,-1.80028383812393
ἔνερθε,4.5,12,+0.724946511996212
ἔνερθε,5,1,-1.80028383812393
ἔνερθε,6.5,1,-1.80028383812393
ἔνερθε,8.5,1,-1.80028383812393
ἔνερθε,9,2,-1.57071744265846
ἔνερθε,10.5,12,+0.724946511996212
ἔνεροι,4,1,-2
ἔνεροι,8,4,+0.5
ἔνθα,1,304,+1.10508113488361
ἔνθα,2,1,-1.98506371724753
ἔνθα,3,132,-0.649060497349248
ἔνθα,5,90,-1.07739740754564
ἔνθα,6,1,-1.98506371724753
ἔνθα,9,130,-0.669457493072886
ἔνθα,11,39,-1.59752079849841
ἔνθαδ’,9,1,
ἔνθεν,1,66,+0.817578297896593
ἔνθεν,3,8,-1.45968824031602
ἔνθεν,4,6,-1.53821467266818
ἔνθεν,5,4,-1.61674110502033
ἔνθεν,6,2,-1.69526753737249
ἔνθεν,8,2,-1.69526753737249
ἔνθεν,9,25,-0.792213565322666
ἔνθεος,1,8,-0.33322381030316
ἔνθεος,3,1,-3.74235971571242
ἔνθεος,9,10,+0.64081501981377
ἔνθορος,1,2,+1
ἔνθορος,7,1,-1
ἔνθορος,9,1,-1
ἔννᾳ,11,1,
ἔννομος,1,1,-1.58113883008419
ἔννομος,7,5,+0.632455532033676
ἔννομος,9,1,-1.58113883008419
ἔννυχος,1,5,+0.894427190999916
ἔννυχος,7,2,-1.11803398874989
ἔννυχος,9,2,-1.11803398874989
ἔννυχου,7,1,
ἔνορχος,4.5,1,
ἔνος,10.5,1,
ἔνοσις,4,1,-1.4142135623731
ἔνοσις,6,2,+0.707106781186547
ἔντἐ,1,2,+0.707106781186547
ἔντἐ,3,1,-1.4142135623731
ἔντεα,1,7,-1.42373699362875
ἔντεα,3,8,-1.35470732121039
ἔντεα,5,4,-1.63082601088384
ἔντεα,7,41,+0.923271868595613
ἔντεα,9,20,-0.526351252190022
ἔντερον,1,1,-1.67332005306815
ἔντερον,7,2,-0.836660026534076
ἔντερον,9,4,+0.836660026534076
ἔντεσσι,4,1,
ἔντομος,9,2,
ἔντοσθε,1,5,-1.43773526189884
ἔντοσθε,2,5,-1.43773526189884
ἔντοσθε,3,6,-1.29396173570896
ἔντοσθε,4,15,+0
ἔντοσθε,8,22,+1.00641468332919
ἔντροφος,9,1,
ἔξαιτος,3,2,+0.5
ἔξαιτος,4,1,-2
ἔξαιτος,7,2,+0.5
ἔξαρχος,3,1,
ἔξαρχος,8,1,
ἔξειμι,1,2,-0.171498585142509
ἔξειμι,2,1,-1.37198868114007
ἔξειμι,4,1,-1.37198868114007
ἔξειμι,8,3,+1.02899151085505
ἔξειμι2,6,1,
ἔξειμι2,9,1,
ἔξεστι,1,1,
ἔξεστι,3,1,
ἔξεστι,4,1,
ἔξεστι,6,1,
ἔξοδος,7,1,
ἔξοιδα,6,2,
ἔξοχος,1,10,-1.40361100074508
ἔξοχος,3,2,-2.02238278713513
ἔξοχος,7,17,-0.862185687653786
ἔξοχος,9,39,+0.839436724918857
ἔξω,1,3,-0.215665546406877
ἔξω,3,1,-1.50965882484814
ἔξω,4,1,-1.50965882484814
ἔξω,7,2,-0.862662185627507
ἔξω,11,5,+1.07832773203438
ἔοίκε,6.5,1,
ἔοικα,1,7,-2.16285160378362
ἔοικα,2,3,-2.23788233247783
ἔοικα,2.5,1,-2.27539769682494
ἔοικα,4,5,-2.20036696813073
ἔοικα,4.5,41,-1.52509040988281
ἔοικα,6,1,-2.27539769682494
ἔοικα,6.5,115,-0.13702192903986
ἔοικα,8,6,-2.18160928595718
ἔοικα,8.5,2,-2.25664001465139
ἔοικα,9,3,-2.23788233247783
ἔοικα,10.5,167,+0.838377543984914
ἔπαλξις,2.5,1,-1.60603396233119
ἔπαλξις,4.5,2,-1.25471403307124
ἔπαλξις,6.5,8,+0.853205542488442
ἔπαλξις,10.5,3,-0.903394103811292
ἔπαυλος,10.5,2,
ἔπαφος,2,2,
ἔπγ’,1,1,
ἔπειμι,2.5,1,-1.83028418974355
ἔπειμι,4,15,+1.35708876507814
ἔπειμι,4.5,4,-1.14727569942461
ἔπειμι,6,3,-1.37494519619759
ἔπειμι,6.5,5,-0.919606202651635
ἔπειμι,8,6,-0.691936705878658
ἔπειμι,10,7,-0.46426720910568
ἔπειμι,10.5,10,+0.218741281213253
ἔπειμι1,2,2,-0.917662935482247
ἔπειμι1,2.5,3,+0.688247201611685
ἔπειμι1,4,3,+0.688247201611685
ἔπειμι1,4.5,2,-0.917662935482247
ἔπειμι1,6.5,3,+0.688247201611685
ἔπειμι1,10,1,-2.52357307257618
ἔπειμι2,2.5,116,+0.473294013702587
ἔπειμι2,4,1,-2.38713945919277
ἔπειμι2,4.5,13,-2.08865944462977
ἔπειμι2,6.5,12,-2.11353277917669
ἔπειτα,2.5,63,-1.28617799652751
ἔπειτα,4,8,-1.82350893427737
ἔπειτα,4.5,278,+0.814297487403746
ἔπειτα,6.5,19,-1.7160427467274
ἔπειτα,8.5,3,-1.87235720134554
ἔπειτα,10.5,98,-0.944240127050329
ἔπηλυς,6.5,12,
ἔπικαγχλόων,2,1,
ἔπλετἀχαιῶν,9,1,
ἔπος,2,15,-1.96742734953312
ἔπος,2.5,68,-0.870666429120789
ἔπος,4,83,-0.560262395041828
ἔπος,4.5,24,-1.78118492908574
ἔπος,6,162,+1.0745321844407
ἔπος,6.5,153,+0.888289763993323
ἔπος,7,1,-2.25713778134015
ἔπος,8,55,-1.13968325865589
ἔπος,10,94,-0.33263277005059
ἔπος,10.5,19,-1.88465294044539
ἔποψ,2,1,
ἔποψις,6.5,3,
ἔπωνε,4.5,1,
ἔραζε,2.5,1,-2.56488611378732
ἔραζε,4.5,2,-2.39000751512
ἔραζε,10.5,18,+0.408050063557074
ἔραμαι,3,2,-0.862662185627507
ἔραμαι,4,3,-0.215665546406877
ἔραμαι,6,5,+1.07832773203438
ἔραμαι,6.5,1,-1.50965882484814
ἔραμαι,10.5,1,-1.50965882484814
ἔρανος,4,2,+0.707106781186547
ἔρανος,8,1,-1.4142135623731
ἔργμα,3,1,-2.32379000772445
ἔργμα,7,4,+0.774596669241483
ἔργμα,9,3,-0.258198889747161
ἔργνυμι,1,4,+1.13137084989848
ἔργνυμι,3,3,+0.282842712474619
ἔργνυμι,6.5,1,-1.41421356237309
ἔργνυμι,7,1,-1.41421356237309
ἔργνυμι,9,2,-0.565685424949238
ἔργνυμι,10.5,1,-1.41421356237309
ἔργον,1,60,-1.16222951249489
ἔργον,2,6,-2.06809075227148
ἔργον,3,26,-1.73258658939126
ἔργον,4,14,-1.93388908711939
ἔργον,5,90,-0.658973268174555
ἔργον,6,3,-2.11841637670352
ἔργον,7,3,-2.11841637670352
ἔργον,8,6,-2.06809075227148
ἔργον,9,146,+0.280438387890063
ἔργον,11,191,+1.03532275437056
ἔργον’,1,1,
ἔργω,1,6,-0.873288455072834
ἔργω,2,1,-1.33072526487289
ἔργω,2.5,1,-1.33072526487289
ἔργω,3,1,-1.33072526487289
ἔργω,4,1,-1.33072526487289
ἔργω,4.5,2,-1.23923790291288
ἔργω,5,1,-1.33072526487289
ἔργω,6,1,-1.33072526487289
ἔργω,6.5,3,-1.14775054095287
ἔργω,9,2,-1.23923790291288
ἔργω,10.5,25,+0.864971422167379
ἔργω1,1,3,-0.89180215915473
ἔργω1,2.5,1,-1.35893662347387
ἔργω1,4,1,-1.35893662347387
ἔργω1,5,1,-1.35893662347387
ἔργω1,6.5,11,+0.976735698121847
ἔργω1,7,1,-1.35893662347387
ἔργω1,10.5,4,-0.658234926995158
ἔρδω,1,22,+0.936733876686023
ἔρδω,2,5,-1.71734544059104
ἔρδω,4,20,+0.624489251124015
ἔρδω,4.5,1,-2.34183469171506
ἔρδω,5,1,-2.34183469171506
ἔρδω,6,2,-2.18571237893405
ἔρδω,10.5,13,-0.468366938343012
ἔρδω,11,10,-0.936733876686023
ἔρεβόσδε,4,1,
ἔρεβος,2,5,-0.693375245281536
ἔρεβος,4,8,+0.76271276980969
ἔρεβος,6,1,-2.63482593206984
ἔρεισμα,8.5,1,
ἔρεσθαι,10.5,1,
ἔρευθος,4.5,4,+0.353553390593274
ἔρευθος,6.5,1,-2.82842712474619
ἔρευθος,10.5,4,+0.353553390593274
ἔριδ’,2,1,
ἔριθος,2.5,1,-1.41421356237309
ἔριθος,4.5,1,-1.41421356237309
ἔριθος,10.5,4,+0.707106781186547
ἔριον,1,1,-0.774596669241483
ἔριον,3,1,-0.774596669241483
ἔριον,4,1,-0.774596669241483
ἔριον,7,3,+1.29099444873581
ἔριον,9,1,-0.774596669241483
ἔριον,10,1,-0.774596669241483
ἔρις,2,18,-0.376931781262325
ἔρις,2.5,10,-1.49376668870625
ἔρις,4,18,-0.376931781262325
ἔρις,4.5,3,-2.47099723271969
ἔρις,6,18,-0.376931781262325
ἔρις,6.5,31,+1.43792494333406
ἔρις,8,21,+0.0418813090291474
ἔρις,10,1,-2.75020595958067
ἔρισμα,4.5,1,
ἔριφος,2,1,-1.56899187720232
ἔριφος,4,11,+0.835108579801236
ἔριφος,6,4,-0.847761740101254
ἔριφος,8,2,-1.32858183150197
ἔριφος,10,1,-1.56899187720232
ἔρνεἀ,1,1,
ἔρνος,1,8,-0.661990286758905
ἔρνος,5,3,-1.29389010593786
ἔρνος,6,1,-1.54665003360944
ἔρνος,7,4,-1.16751014210207
ἔρνος,9,21,+0.980949243106378
ἔρνος,11,5,-1.04113017826628
ἔρξανθ’,1,1,
ἔρομαι,1,19,+1.59316598906314
ἔρομαι,3,12,+0.185953128060998
ἔρομαι,4,4,-1.42229014165574
ἔρομαι,6,2,-1.82435095908492
ἔρομαι,6.5,1,-2.02538136779951
ἔρομαι,7,9,-0.417138098082778
ἔρομαι,8,6,-1.02022932422655
ἔρομαι,9,9,-0.417138098082778
ἔρομαι,10,9,-0.417138098082778
ἔρομαι,10.5,9,-0.417138098082778
ἔρος,2,3,-1.43854765469855
ἔρος,2.5,1,-1.62260425698322
ἔρος,4,2,-1.53057595584089
ἔρος,6,1,-1.62260425698322
ἔρος,6.5,1,-1.62260425698322
ἔρος,8,4,-1.34651935355622
ἔρος,10,26,+0.678103271575076
ἔρρευν,1,1,
ἔρρω,1,29,+0.756045899748008
ἔρρω,3,2,-1.70209286330703
ἔρρω,4,1,-1.79313503971648
ἔρρω,9,9,-1.06479762844091
ἔρρω,11,5,-1.4289663340787
ἔρσα,10.5,87,
ἔρυμα,2,1,-1
ἔρυμα,6,2,+1
ἔρυμα,8,1,-1
ἔρυξ,8,1,
ἔρυται,10.5,1,
ἔρυτος,8,1,
ἔρχομαι,1,373,+1.3502722059307
ἔρχομαι,2,46,-1.3650734982299
ἔρχομαι,2.5,16,-1.61418778301528
ἔρχομαι,3,58,-1.26542778431575
ἔρχομαι,4,67,-1.19069349888014
ἔρχομαι,5,152,-0.484869691988239
ἔρχομαι,6,3,-1.72213730642228
ἔρχομαι,6.5,46,-1.3650734982299
ἔρχομαι,7,90,-0.999705880544683
ἔρχομαι,8,4,-1.71383349692943
ἔρχομαι,8.5,1,-1.73874492540797
ἔρχομαι,9,229,+0.154523638960895
ἔρχομαι,11,170,-0.335401121117013
ἔρως,2.5,42,-1.82849430323593
ἔρως,4.5,148,-0.0271970642371927
ἔρως,6.5,51,-1.67555397162283
ἔρως,8.5,2,-2.50822911040527
ἔρως,10.5,200,+0.856458185082943
ἔσεκτο,4.5,1,
ἔσθι’,1,1,
ἔσθος,11,2,
ἔσθω,1,14,+0.267261241912425
ἔσθω,3,1,-3.74165738677394
ἔσσαι,1,1,
ἔσσομαι,2.5,1,-1.4142135623731
ἔσσομαι,6.5,2,+0.707106781186547
ἔσχατος,1,2,-2.83777045873527
ἔσχατος,7,8,+0.0766964988847371
ἔσχατος,9,9,+0.562440991821405
ἔσω,2.5,22,-1.41882889172607
ἔσω,4.5,2,-2.59453365111033
ἔσω,6.5,57,+0.63865443719639
ἔτ,2.5,1,
ἔταροι,2,1,
ἔτης,4.5,3,-1.06144555520604
ἔτης,6.5,1,-1.95959179422654
ἔτης,10.5,7,+0.734846922834954
ἔτι,2,105,+0.0605088873943754
ἔτι,2.5,149,+1.39681783717438
ἔτι,3,1,-3.09803953935837
ἔτι,4,111,+0.242732835091649
ἔτι,4.5,27,-2.30840243267018
ἔτι,6,61,-1.27580006238563
ἔτι,6.5,91,-0.364680323899263
ἔτι,8,85,-0.546904271596537
ἔτι,8.5,2,-3.06766888140882
ἔτι,10,119,+0.485698098688014
ἔτι,10.5,33,-2.12617848497291
ἔτκ,6,1,
ἔτος,2,5,-1.16231840193594
ἔτος,4,12,-0.316617199093661
ἔτος,4.5,1,-1.64557623213153
ἔτος,6,24,+1.1331562914931
ἔτος,6.5,7,-0.920689486838145
ἔτος,8,2,-1.52476177458263
ἔτος,10,7,-0.920689486838145
ἔτυμος,2,2,-1
ἔτυμος,4,4,+1
ἔτυμος,8,3,+0
ἔτυμος,10,1,-2
ἔφαλος,4,1,
ἔφαλος,8,1,
ἔφεδρος,10.5,1,
ἔφεσος,4,1,
ἔφεσος,6,1,
ἔφηβος,10.5,2,
ἔφημαι,6.5,3,
ἔφυδρος,10.5,1,
ἔφυρα,2,1,
ἔχεκλος,10.5,2,
ἔχετος,4,1,
ἔχθιστος,1,3,+0.816496580927726
ἔχθιστος,4,1,-1.22474487139159
ἔχθιστος,8,1,-1.22474487139159
ἔχθος,5,1,
ἔχθος,9,1,
ἔχθρα,9,1,
ἔχθω,1,3,-0.716977143917153
ἔχθω,7,3,-0.716977143917153
ἔχθω,8,1,-1.88206500278253
ἔχθω,9,6,+1.03065464438091
ἔχιδνα,10.5,9,
ἔχιος,4,2,
ἔχις,10.5,3,
ἔχμα,9,6,+0.408248290463863
ἔχμα,11,1,-2.44948974278318
ἔχουτι,10.5,1,
ἔχω,1,74,-1.39224442586533
ἔχω,2,61,-1.48458427808006
ἔχω,2.5,267,-0.0213527737542336
ἔχω,3,19,-1.78291303138921
ἔχω,4,54,-1.53430573696492
ἔχω,4.5,346,+0.539789405089167
ἔχω,5,106,-1.16494632810597
ἔχω,6,66,-1.44906895030516
ἔχω,6.5,450,+1.27850822280706
ἔχω,7,20,-1.77580996583423
ἔχω,8,159,-0.788483853692047
ἔχω,8.5,2,-1.90366514582387
ἔχω,9,109,-1.14363713144103
ἔχω,10,33,-1.68347011361949
ἔχω,10.5,334,+0.45455261842941
ἔχω,11,19,-1.78291303138921
ἔψανσε,4,1,
ἐάν,1,57,+1.03893704709382
ἐάν,2,2,-2.47015103788035
ἐάν,3,35,-0.364698186895849
ἐάν,4,6,-2.21494463170041
ἐάν,5,1,-2.53395263942533
ἐάν,7,14,-1.70453181934053
ἐάν,9,40,-0.0456901791709248
ἐάσσας,10.5,1,
ἐάσσω,10.5,1,
ἐάω,1,12,-1.12000744017049
ἐάω,2,10,-1.16395227826245
ἐάω,2.5,7,-1.2298695354004
ἐάω,4,16,-1.03211776398657
ἐάω,4.5,17,-1.01014534494058
ἐάω,5,1,-1.36170404967629
ἐάω,6,2,-1.3397316306303
ἐάω,6.5,37,-0.570696964020956
ἐάω,7,1,-1.36170404967629
ἐάω,8,8,-1.20789711635442
ἐάω,9,3,-1.31775921158432
ἐάω,10,1,-1.36170404967629
ἐάω,10.5,109,+1.0113172072897
ἐάω,11,1,-1.36170404967629
ἐαρινός,1,21,+0.927307648120053
ἐαρινός,3,12,-0.509259118229865
ἐαρινός,7,2,-2.10544441417422
ἐαρινός,9,7,-1.30735176620204
ἐβλάβετ’,9,1,
ἐγάνυντ’,6,1,
ἐγγείνωνται,3,1,
ἐγγελάω,3,1,
ἐγγενέτης,3,1,
ἐγγίγνομαι,9,7,
ἐγγόνασιν,1,1,
ἐγγόνασιν,3,1,
ἐγγύη,7,1,
ἐγγύθεν,1,16,-0.672245095407981
ἐγγύθεν,3,15,-0.784792916811127
ἐγγύθεν,7,11,-1.23498420242371
ἐγγύθεν,9,32,+1.12852004704236
ἐγγύθι,1,5,-2.19928932360097
ἐγγύθι,3,3,-2.30291266022633
ἐγγύθι,7,3,-2.30291266022633
ἐγγύθι,9,56,+0.443105760345765
ἐγγύς,1,21,-0.833471239044062
ἐγγύς,2,2,-2.33358215939931
ἐγγύς,3,40,+0.66663968131119
ἐγγύς,4,3,-2.25462895306483
ἐγγύς,5,2,-2.33358215939931
ἐγγύς,8,1,-2.4125353657338
ἐγγύς,9,39,+0.587686474976703
ἐγγύς,11,7,-1.93881612772688
ἐγγυάω,4,1,-1.22474487139159
ἐγγυάω,9,1,-1.22474487139159
ἐγγυάω,11,3,+0.816496580927726
ἐγγυαλίζω,3,3,-3.55902608401044
ἐγγυαλίζω,9,38,+0.280975743474508
ἐγέρσιμος,8.5,1,
ἐγείρω,1,17,-0.607270604755646
ἐγείρω,2,2,-1.60226013408605
ἐγείρω,3,10,-1.0715990517765
ἐγείρω,4,1,-1.66859276937474
ἐγείρω,4.5,14,-0.806268510621727
ἐγείρω,6.5,27,+0.0560557481312905
ἐγείρω,7,7,-1.27059695764258
ἐγείρω,8,2,-1.60226013408605
ἐγείρω,8.5,1,-1.66859276937474
ἐγείρω,9,15,-0.739935875333033
ἐγείρω,10.5,46,+1.31637581861647
ἐγερσίμοθος,6.5,10,
ἐγερσίνοος,2.5,3,+0.577350269189626
ἐγερσίνοος,6.5,1,-1.73205080756888
ἐγκαναχάομαι,7,1,
ἐγκαταλείπω,9,1,
ἐγκαταπήγνυμι,3,1,
ἐγκαταπίπτω,6,1,
ἐγκατατίθεμαι,3,1,-2.44948974278318
ἐγκατατίθεμαι,8,12,+0.408248290463863
ἐγκατατίθεμαι,9,1,-2.44948974278318
ἐγκατελεκτο,9,1,
ἐγκέλαδος,1,3,+0.894427190999916
ἐγκέλαδος,3,1,-1.78885438199983
ἐγκέλαδος,7,2,-0.447213595499958
ἐγκέφαλος,1,3,-1.58113883008419
ἐγκέφαλος,3,8,+1.18585412256314
ἐγκέφαλος,7,5,-0.474341649025257
ἐγκέφαλος,9,5,-0.474341649025257
ἐγκεράννυμι,3,1,
ἐγκίνυται,8,1,
ἐγκιθαρίζω,9,2,
ἐγκλείω,6.5,2,
ἐγκλίνω,3,1,
ἐγκλίνω,6,1,
ἐγκλιδόν,1,1,-1.4142135623731
ἐγκλιδόν,7,2,+0.707106781186547
ἐγκονέω,3,6,-0.798762063028367
ἐγκονέω,7,1,-2.73861278752583
ἐγκονέω,9,10,+0.753118516569603
ἐγκοσμέω,1,1,
ἐγκρατής,3,1,
ἐγκρίνω,6.5,3,
ἐγκροτέω,9,1,
ἐγκρύπτω,1,1,-2.01143955945448
ἐγκρύπτω,6.5,10,+0.546586836808283
ἐγκρύπτω,8,2,-1.72721440431417
ἐγκύμων,6,8,-1.2747548783982
ἐγκύμων,8,13,+0.784464540552736
ἐγκύρω,1,1,-1.22474487139159
ἐγκύρω,8,3,+0.816496580927726
ἐγκύρω,10,1,-1.22474487139159
ἐγρέμοθος,1,5,-0.103975048982007
ἐγρέμοθος,3,5,-0.103975048982007
ἐγρέμοθος,7,6,+0.779812867365055
ἐγρέμοθος,9,1,-3.63912671437025
ἐγρεκύδοιμος,3,16,+0.25
ἐγρεκύδοιμος,7,1,-4
ἐγρεμάχη,3,1,
ἐγρετίοιο,7,2,
ἐγρετίῳ,1,1,
ἐγρήσσω,1,1,-1.57043804711426
ἐγρήσσω,3,8,+0.703989469396047
ἐγρήσσω,7,1,-1.57043804711426
ἐγρήσσω,9,2,-1.24551983046993
ἐγρηγορόων,2,1,
ἐγρηγορτί,2,1,
ἐγρομένων,3,1,
ἐγχέσπαλος,6,4,
ἐγχέω,4,1,
ἐγχέω,8,1,
ἐγχείη,1,11,-0.974394919424152
ἐγχείη,3,22,+1.00776460844553
ἐγχείη,7,5,-2.0555728437167
ἐγχείη,9,16,-0.0734133158470253
ἐγχεσίμωρος,9,4,
ἐγχεσπάλος,6,1,
ἐγχρίμπτω,2.5,1,-2.04091997165706
ἐγχρίμπτω,3,9,+0.798620858474502
ἐγχρίμπτω,6.5,5,-0.62114955659128
ἐγχρίμπτω,9,1,-2.04091997165706
ἐγχύνω,1,1,-2
ἐγχύνω,9,4,+0.5
ἐγχώριος,6,1,
ἐγώ,1,178,-0.946124736896469
ἐγώ,2,430,-0.132298020639995
ἐγώ,2.5,1027,+1.79569622382475
ἐγώ,3,457,-0.0451023010410874
ἐγώ,4,310,-0.519834552190697
ἐγώ,4.5,420,-0.164592731602554
ἐγώ,5,221,-0.807257479757467
ἐγώ,6,311,-0.516605081094441
ἐγώ,6.5,427,-0.141986433928763
ἐγώ,7,191,-0.904141612645143
ἐγώ,8,64,-1.31428444186964
ἐγώ,8.5,143,-1.05915622526542
ἐγώ,9,74,-1.28198973090708
ἐγώ,10,143,-1.05915622526542
ἐγώ,10.5,292,-0.577965031923302
ἐγώ,11,91,-1.22708872227073
ἐγώ,12,23,-1.44669275681613
ἐδάϊζεν,4,4,
ἐδάϊζον,4,4,+0.5
ἐδάϊζον,10,1,-2
ἐδάϊξε,4,3,+0.577350269189626
ἐδάϊξε,10,1,-1.73205080756888
ἐδάϊξεν,4,1,
ἐδέθλιον,6.5,7,+0.755928946018454
ἐδέθλιον,8.5,4,-1.3228756555323
ἐδέϊζε,4,1,
ἐδέχνυτο,6.5,7,
ἐδείδιε,6.5,4,
ἐδείδιες,6.5,1,
ἐδείδιον,6.5,1,
ἐδήιον,6.5,1,
ἐδητύς,6.5,36,+0.166666666666666
ἐδητύς,8.5,1,-6
ἐδθλὸν,5,1,
ἐδίδασχ’,2,1,
ἐδνωταὶ,1,1,
ἐδοκεῦμες,10,1,
ἐδωδή,10.5,36,
ἐέγργει,10.5,1,
ἐέλδομένῃ,2.5,1,
ἐέλπῃ,10.5,1,
ἐείδηται,2.5,1,
ἐελμέναι,6.5,1,
ἐζόμενοι,1,1,
ἐή,6.5,1,
ἐθάδ’,1,1,
ἐθέλω,1,43,-0.998497196652624
ἐθέλω,2,92,-0.131621190377066
ἐθέλω,2.5,2,-1.7238424263934
ἐθέλω,3,13,-1.52923760865807
ἐθέλω,4,175,+1.33676061617133
ἐθέλω,4.5,2,-1.7238424263934
ἐθέλω,6,29,-1.2461760555885
ἐθέλω,6.5,3,-1.70615107932655
ἐθέλω,7,32,-1.19310201438795
ἐθέλω,8,52,-0.839275073050991
ἐθέλω,9,34,-1.15771932025426
ἐθέλω,10,105,+0.0983663214919597
ἐθείρω,10.5,1,
ἐθειράζω,2.5,1,
ἐθελημός,4,1,-1.4142135623731
ἐθελημός,10,2,+0.707106781186547
ἐθελοντήρ,2,1,
ἐθήμων,6.5,37,+0.232495277487639
ἐθήμων,8.5,2,-4.30116263352131
ἐθήσαο,6.5,1,
ἐθλάσθη,1,1,
ἐίσκω,4,1,-1.80765196700106
ἐίσκω,4.5,1,-1.80765196700106
ἐίσκω,6.5,7,-0.903825983500532
ἐίσκω,8,1,-1.80765196700106
ἐίσκω,10,1,-1.80765196700106
ἐίσκω,10.5,18,+0.753188319583777
ἐΐσῃ,10.5,1,
ἐϊκυῖ’,2,1,
ἐιέρσετο,2.5,1,
ἐκ,1,593,+0.620504868197402
ἐκ,2,52,-2.04499269642808
