lemma,sedes,x,z
Ὠγυγία,3,1,
Ὠκεανός,1,1,-2.18578954036219
Ὠκεανός,3,28,-1.02960994819072
Ὠκεανός,7,14,-1.62911047746481
Ὠκεανός,9,70,+0.768891639631566
ὰβάτοιο,4,1,
ὰγῶνα,10.5,1,
ἀ,1,1,
ἂψεα,9,1,
ἄαπτος,6.5,1,-4.12310562561766
ἄαπτος,10.5,17,+0.242535625036333
ἄατος,1,2,-0.577350269189626
ἄατος,3,1,-0.962250448649376
ἄατος,4,1,-0.962250448649376
ἄατος,4.5,1,-0.962250448649376
ἄατος,5,2,-0.577350269189626
ἄατος,6,1,-0.962250448649376
ἄατος,7,2,-0.577350269189626
ἄατος,8,7,+1.34715062810913
ἄατος,9,2,-0.577350269189626
ἄατος,11,1,-0.962250448649376
ἄβαρις,4.5,1,
ἄβας,2.5,1,-1.78885438199983
ἄβας,4.5,3,+0.894427190999916
ἄβας,10.5,2,-0.447213595499958
ἄβατος,4,2,+0.707106781186547
ἄβατος,6,1,-1.4142135623731
ἄβληρος,4,1,
ἄβλητος,3,1,
ἄβρεκτος,1,3,-0.888888888888889
ἄβρεκτος,3,6,+0.777777777777778
ἄβρεκτος,7,1,-2
ἄβριμοι,9,1,
ἄβρομος,1,2,+0.707106781186547
ἄβρομος,7,1,-1.4142135623731
ἄβροτος,2,1,
ἄβροχος,1,16,+0.925502838891762
ἄβροχος,3,4,-1.44378442867115
ἄβροχος,7,3,-1.64122503430139
ἄβροχος,9,9,-0.456581400519936
ἄβυδος,4.5,1,-1.4142135623731
ἄβυδος,10.5,2,+0.707106781186547
ἄγαλμα,2.5,1,-1.74425997642941
ἄγαλμα,4,1,-1.74425997642941
ἄγαλμα,4.5,18,+0.837832741487162
ἄγαλμα,6.5,6,-0.984820941748067
ἄγαλμα,10.5,5,-1.13670874868434
ἄγαμαι,2,6,-0.52716798233697
ἄγαμαι,2.5,11,+0.860116181707688
ἄγαμαι,3,2,-1.6369953135727
ἄγαμαι,4,4,-1.08208164795483
ἄγαμαι,4.5,1,-1.91445214638163
ἄγαμαι,6,1,-1.91445214638163
ἄγαμαι,6.5,11,+0.860116181707688
ἄγαμαι,10,4,-1.08208164795483
ἄγαμος,4,8,+0.353553390593274
ἄγαμος,8,1,-2.82842712474619
ἄγαν,6.5,2,
ἄγγεϊ,9,1,
ἄγγελα,9,1,
ἄγγελος,1,23,+0.191993890330419
ἄγγελος,3,7,-2.92032812134164
ἄγγελος,7,21,-0.197046361128588
ἄγγελος,9,26,+0.77555426751893
ἄγγος,1,2,-1.32822259344282
ἄγγος,2,1,-1.86669121240612
ἄγγος,3,1,-1.86669121240612
ἄγγος,7,6,+0.825651882410399
ἄγγος,9,5,+0.287183263447095
ἄγγουρον,4,1,
ἄγε,2,190,+0.469675666199624
ἄγε,4,21,-2.02018960156063
ἄγε,6,5,-2.25591649081604
ἄγε,6.5,1,-2.3148482131299
ἄγε,8,6,-2.24118356023758
ἄγε,10,9,-2.19698476850219
ἄγκαλον,9,1,
ἄγκε’,3,1,
ἄγκιστρον,3,4,+0.707106781186547
ἄγκιστρον,4,1,-1.41421356237309
ἄγκιστρον,7,1,-1.41421356237309
ἄγκοινα,7,1,
ἄγκος,1,1,-2.0306107826315
ἄγκος,3,1,-2.0306107826315
ἄγκος,7,18,+0.616657875707111
ἄγκος,9,5,-1.407724039493
ἄγναμπτος,3,1,-2.23606797749979
ἄγναμπτος,4,5,+0.447213595499958
ἄγνος,1,1,
ἄγνυμι,1,17,+1.54190176276572
ἄγνυμι,2,1,-1.60535451020464
ἄγνυμι,3,1,-1.60535451020464
ἄγνυμι,4,7,-0.425133407840756
ἄγνυμι,4.5,6,-0.621836924901404
ἄγνυμι,5,2,-1.408650993144
ἄγνυμι,6,1,-1.60535451020464
ἄγνυμι,6.5,7,-0.425133407840756
ἄγνυμι,9,8,-0.228429890780108
ἄγνυμι,10.5,7,-0.425133407840756
ἄγνυμι,11,5,-0.818540441962052
ἄγνωστος,1,3,-0.970142500145332
ἄγνωστος,3,4,-0.242535625036333
ἄγνωστος,4,6,+1.21267812518167
ἄγνωστος,7,1,-2.42535625036333
ἄγνωστος,8,4,-0.242535625036333
ἄγονος,4,2,
ἄγος,6.5,2,+0.707106781186547
ἄγος,8,1,-1.4142135623731
ἄγρα,1,1,-1.90387987910261
ἄγρα,2.5,1,-1.90387987910261
ἄγρα,4,2,-1.75101361143743
ἄγρα,6,1,-1.90387987910261
ἄγρα,11,17,+0.541980403540158
ἄγραυλος,1,2,-1.674514540888
ἄγραυλος,3,15,+1.15839704540882
ἄγραυλος,4,7,-0.584933161543069
